City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Tuktoyaktuk,69.4541,-133.0374,16.12,94,100,10.25,CA,1636808017
Mataura,-46.1927,168.8643,46.96,100,100,1.12,NZ,1636808018
Gorontalo,0.5412,123.0595,75.83,95,98,3.98,ID,1636807771
Calamar,10.2511,-74.9146,78.75,78,99,6.46,CO,1636808021
Yellowknife,62.456,-114.3525,27.41,95,90,12.66,CA,1636808022
Turtas,58.9417,69.1325,28.6,95,100,6.22,RU,1636808024
Chokurdakh,70.6333,147.9167,-3.28,90,100,8.97,RU,1636808025
Lebu,-37.6167,-73.65,53.22,73,38,8.3,CL,1636808029
Busselton,-33.65,115.3333,63.05,56,0,14.99,AU,1636808030
Ancud,-41.8697,-73.8203,49.53,90,100,9.28,CL,1636808032
Pueblo Nuevo,23.3833,-105.3833,49.69,67,2,8.21,MX,1636808033
Vaini,-21.2,-175.2,75.36,94,40,5.75,TO,1636808035
Ushuaia,-54.8,-68.3,51.46,62,20,3.44,AR,1636808012
New Norfolk,-42.7826,147.0587,45.9,71,38,1.01,AU,1636808037
East London,-33.0153,27.9116,74.34,56,0,17.27,ZA,1636808039
Leeton,-34.5667,146.4,53.65,62,75,9.22,AU,1636808040
Alibag,18.6411,72.8792,87.87,70,4,11.5,IN,1636808041
Punta Alta,-38.8759,-62.0736,68.59,53,100,9.06,AR,1636808043
Neryungri,56.6709,124.6491,3.56,95,95,6.22,RU,1636808044
Kahului,20.8947,-156.47,70.68,74,1,3.44,US,1636807911
Hobart,-42.8794,147.3294,46.26,89,20,1.01,AU,1636808023
Snåase,64.2457,12.3778,32.04,83,100,2.73,NO,1636808049
Bluff,-46.6,168.3333,48.78,88,100,9.75,NZ,1636808050
Inuvik,68.3499,-133.7218,16.81,92,90,9.22,CA,1636808051
Lagos,6.5833,3.75,89.92,67,80,7.4,NG,1636807901
Kumba,4.6363,9.4469,89.71,53,100,2.77,CM,1636808054
Tanout,14.9709,8.8879,93.58,8,100,7.0,NE,1636808056
Esperance,-33.8667,121.9,49.84,69,14,11.45,AU,1636808057
Maragogi,-9.0122,-35.2225,84.36,61,19,9.82,BR,1636808058
Saskylakh,71.9167,114.0833,-17.64,85,20,6.64,RU,1636808060
Yaan,7.3833,8.5667,94.75,40,100,0.6,NG,1636808062
Djibouti,11.5,42.5,83.62,43,0,20.04,DJ,1636808064
Grand Gaube,-20.0064,57.6608,81.37,68,11,5.01,MU,1636808065
Yiyang,28.5892,112.3283,58.55,60,72,0.6,CN,1636808066
Rikitea,-23.1203,-134.9692,72.43,73,100,7.96,PF,1636808070
Man,7.4125,-7.5538,84.6,65,90,2.86,CI,1636808071
Mahébourg,-20.4081,57.7,81.25,69,40,11.5,MU,1636808073
Puerto Ayora,-0.7393,-90.3518,67.64,83,100,10.25,EC,1636808074
Merke,42.8728,73.1786,45.86,58,99,3.44,KZ,1636808075
Albany,42.6001,-73.9662,48.72,88,77,3.0,US,1636807804
Bredasdorp,-34.5322,20.0403,71.28,47,83,19.19,ZA,1636808078
Thompson,55.7435,-97.8558,21.36,86,90,4.61,CA,1636808079
Kuopio,62.8924,27.677,33.75,80,90,5.75,FI,1636808081
Progreso,21.2833,-89.6667,74.1,82,20,10.8,MX,1636808082
Godfrey,38.9556,-90.1868,36.61,74,90,1.01,US,1636808083
Avarua,-21.2078,-159.775,77.05,88,75,9.22,CK,1636808085
Adrar,20.5022,-10.0711,85.39,27,11,7.14,MR,1636808086
Middelkerke,51.1558,2.8418,55.22,91,75,14.97,BE,1636808087
Bucerías,20.75,-105.3333,74.98,90,0,3.65,MX,1636808009
Butaritari,3.0707,172.7902,82.22,75,91,14.25,KI,1636808090
La Macarena,2.1837,-73.7849,79.99,69,100,2.82,CO,1636808091
Kavaratti,10.5669,72.642,82.04,76,97,10.07,IN,1636808093
Khon Buri,14.5254,102.2459,71.33,86,67,4.92,TH,1636808094
Conway,35.0887,-92.4421,36.28,76,1,3.44,US,1636807936
Provideniya,64.3833,-173.3,21.7,96,96,2.91,RU,1636808097
Linares,-35.85,-71.6,58.51,55,1,6.2,CL,1636808098
Peruíbe,-24.32,-46.9983,69.98,63,33,9.1,BR,1636808101
Bayir,37.2687,28.2167,64.92,40,11,5.03,TR,1636808102
Chimbote,-9.0853,-78.5783,62.53,87,96,4.61,PE,1636808104
Dzhuryn,49.0329,25.5839,52.25,68,100,13.09,UA,1636808105
Cabo San Lucas,22.8909,-109.9124,74.52,81,15,6.02,MX,1636807823
Jamestown,42.097,-79.2353,36.52,90,90,8.99,US,1636808007
Airai,-8.9266,125.4092,63.3,92,100,1.81,TL,1636808109
Chui,-33.6971,-53.4616,68.5,54,30,15.86,UY,1636807870
Hilo,19.7297,-155.09,71.26,72,57,3.47,US,1636808077
Kangaatsiaq,68.3065,-53.4641,8.94,96,100,11.1,GL,1636808112
Mar del Plata,-38.0023,-57.5575,64.42,79,75,28.99,AR,1636808028
Musiri,10.9333,78.45,82.44,84,100,6.02,IN,1636808115
Bengkulu,-3.8004,102.2655,77.05,89,100,5.19,ID,1636808116
Rassvet,46.8333,40.75,50.05,63,2,4.47,RU,1636808118
Emerald,-23.5333,148.1667,68.14,42,0,9.22,AU,1636808119
Turukhansk,65.8167,87.9833,11.82,94,100,12.68,RU,1636808120
Kapaa,22.0752,-159.319,71.92,59,20,5.75,US,1636808122
Flinders,-34.5833,150.8552,61.21,86,78,1.01,AU,1636808124
Kashgar,39.4547,75.9797,42.01,42,72,4.47,CN,1636808126
Shimoda,34.6667,138.95,55.11,60,100,8.48,JP,1636808127
Duluth,46.7833,-92.1066,32.59,74,90,9.22,US,1636808129
Tyrma,50.0833,132.1667,13.48,98,95,1.59,RU,1636808130
Iqaluit,63.7506,-68.5145,1.13,77,20,13.0,CA,1636808131
Povenets,62.8487,34.8262,30.58,80,23,5.44,RU,1636808133
Tezu,27.9167,96.1667,65.17,53,0,4.52,IN,1636808134
Barrow,71.2906,-156.7887,15.82,73,90,8.05,US,1636807928
Gravdal,68.1214,13.5031,35.28,72,100,15.1,NO,1636808138
Isangel,-19.55,169.2667,75.31,88,8,6.91,VU,1636808139
Mana,5.6592,-53.7767,81.99,77,51,5.57,GF,1636808141
La Asuncion,11.0333,-63.8628,78.53,100,89,8.05,VE,1636808142
Rudnichnyy,59.617,52.4703,28.58,95,98,7.02,RU,1636808143
